,mask_ratio,lr,transform,target,r_square
0,0.1,0.0001,instance_normalize,CaCO3,0.976
1,0.1,0.0001,instance_normalize,TOC,0.95
2,0.1,0.0001,normalize,CaCO3,0.956
3,0.1,0.0001,normalize,TOC,0.957
4,0.1,0.0001,log,CaCO3,0.96
5,0.1,0.0001,log,TOC,0.878
6,0.1,1e-05,instance_normalize,CaCO3,0.968
7,0.1,1e-05,instance_normalize,TOC,0.938
8,0.1,1e-05,normalize,CaCO3,0.974
9,0.1,1e-05,normalize,TOC,0.959
10,0.1,1e-05,log,CaCO3,0.972
11,0.1,1e-05,log,TOC,0.917
12,0.1,1e-06,instance_normalize,CaCO3,0.964
13,0.1,1e-06,instance_normalize,TOC,0.907
14,0.1,1e-06,normalize,CaCO3,0.959
15,0.1,1e-06,normalize,TOC,0.898
16,0.1,1e-06,log,CaCO3,0.959
17,0.1,1e-06,log,TOC,0.245
18,0.2,0.0001,instance_normalize,CaCO3,0.979
19,0.2,0.0001,instance_normalize,TOC,0.954
20,0.2,0.0001,normalize,CaCO3,0.948
21,0.2,0.0001,normalize,TOC,0.892
22,0.2,0.0001,log,CaCO3,0.966
23,0.2,0.0001,log,TOC,0.893
24,0.2,1e-05,instance_normalize,CaCO3,0.971
25,0.2,1e-05,instance_normalize,TOC,0.934
26,0.2,1e-05,normalize,CaCO3,0.97
27,0.2,1e-05,normalize,TOC,0.953
28,0.2,1e-05,log,CaCO3,0.971
29,0.2,1e-05,log,TOC,0.921
30,0.2,1e-06,instance_normalize,CaCO3,0.962
31,0.2,1e-06,instance_normalize,TOC,0.917
32,0.2,1e-06,normalize,CaCO3,0.961
33,0.2,1e-06,normalize,TOC,0.899
34,0.2,1e-06,log,CaCO3,0.948
35,0.2,1e-06,log,TOC,0.335
36,0.3,0.0001,instance_normalize,CaCO3,0.974
37,0.3,0.0001,instance_normalize,TOC,0.97
38,0.3,0.0001,normalize,CaCO3,0.963
39,0.3,0.0001,normalize,TOC,0.935
40,0.3,0.0001,log,CaCO3,0.961
41,0.3,0.0001,log,TOC,0.874
42,0.3,1e-05,instance_normalize,CaCO3,0.972
43,0.3,1e-05,instance_normalize,TOC,0.927
44,0.3,1e-05,normalize,CaCO3,0.972
45,0.3,1e-05,normalize,TOC,0.957
46,0.3,1e-05,log,CaCO3,0.97
47,0.3,1e-05,log,TOC,0.909
48,0.3,1e-06,instance_normalize,CaCO3,0.961
49,0.3,1e-06,instance_normalize,TOC,0.913
50,0.3,1e-06,normalize,CaCO3,0.96
51,0.3,1e-06,normalize,TOC,0.896
52,0.3,1e-06,log,CaCO3,0.954
53,0.3,1e-06,log,TOC,0.217
54,0.4,0.0001,instance_normalize,CaCO3,0.972
55,0.4,0.0001,instance_normalize,TOC,0.974
56,0.4,0.0001,normalize,CaCO3,0.943
57,0.4,0.0001,normalize,TOC,0.938
58,0.4,0.0001,log,CaCO3,0.958
59,0.4,0.0001,log,TOC,0.894
60,0.4,1e-05,instance_normalize,CaCO3,0.972
61,0.4,1e-05,instance_normalize,TOC,0.933
62,0.4,1e-05,normalize,CaCO3,0.966
63,0.4,1e-05,normalize,TOC,0.957
64,0.4,1e-05,log,CaCO3,0.972
65,0.4,1e-05,log,TOC,0.923
66,0.4,1e-06,instance_normalize,CaCO3,0.961
67,0.4,1e-06,instance_normalize,TOC,0.917
68,0.4,1e-06,normalize,CaCO3,0.956
69,0.4,1e-06,normalize,TOC,0.904
70,0.4,1e-06,log,CaCO3,0.961
71,0.4,1e-06,log,TOC,0.14
72,0.5,0.0001,instance_normalize,CaCO3,0.976
73,0.5,0.0001,instance_normalize,TOC,0.967
74,0.5,0.0001,normalize,CaCO3,0.96
75,0.5,0.0001,normalize,TOC,0.968
76,0.5,0.0001,log,CaCO3,0.966
77,0.5,0.0001,log,TOC,0.886
78,0.5,1e-05,instance_normalize,CaCO3,0.975
79,0.5,1e-05,instance_normalize,TOC,0.937
80,0.5,1e-05,normalize,CaCO3,0.97
81,0.5,1e-05,normalize,TOC,0.954
82,0.5,1e-05,log,CaCO3,0.971
83,0.5,1e-05,log,TOC,0.917
84,0.5,1e-06,instance_normalize,CaCO3,0.953
85,0.5,1e-06,instance_normalize,TOC,0.916
86,0.5,1e-06,normalize,CaCO3,0.955
87,0.5,1e-06,normalize,TOC,0.906
88,0.5,1e-06,log,CaCO3,0.962
89,0.5,1e-06,log,TOC,0.19
90,0.6,0.0001,instance_normalize,CaCO3,0.982
91,0.6,0.0001,instance_normalize,TOC,0.961
92,0.6,0.0001,normalize,CaCO3,0.974
93,0.6,0.0001,normalize,TOC,0.973
94,0.6,0.0001,log,CaCO3,0.958
95,0.6,0.0001,log,TOC,0.864
96,0.6,1e-05,instance_normalize,CaCO3,0.975
97,0.6,1e-05,instance_normalize,TOC,0.95
98,0.6,1e-05,normalize,CaCO3,0.972
99,0.6,1e-05,normalize,TOC,0.954
100,0.6,1e-05,log,CaCO3,0.973
101,0.6,1e-05,log,TOC,0.927
102,0.6,1e-06,instance_normalize,CaCO3,0.95
103,0.6,1e-06,instance_normalize,TOC,0.912
104,0.6,1e-06,normalize,CaCO3,0.958
105,0.6,1e-06,normalize,TOC,0.908
106,0.6,1e-06,log,CaCO3,0.958
107,0.6,1e-06,log,TOC,0.65
108,0.7,0.0001,instance_normalize,CaCO3,0.979
109,0.7,0.0001,instance_normalize,TOC,0.969
110,0.7,0.0001,normalize,CaCO3,0.971
111,0.7,0.0001,normalize,TOC,0.975
112,0.7,0.0001,log,CaCO3,0.96
113,0.7,0.0001,log,TOC,0.889
114,0.7,1e-05,instance_normalize,CaCO3,0.971
115,0.7,1e-05,instance_normalize,TOC,0.938
116,0.7,1e-05,normalize,CaCO3,0.974
117,0.7,1e-05,normalize,TOC,0.938
118,0.7,1e-05,log,CaCO3,0.972
119,0.7,1e-05,log,TOC,0.923
120,0.7,1e-06,instance_normalize,CaCO3,0.958
121,0.7,1e-06,instance_normalize,TOC,0.903
122,0.7,1e-06,normalize,CaCO3,0.956
123,0.7,1e-06,normalize,TOC,0.914
124,0.7,1e-06,log,CaCO3,0.959
125,0.7,1e-06,log,TOC,0.749
126,0.8,0.0001,instance_normalize,CaCO3,0.973
127,0.8,0.0001,instance_normalize,TOC,0.972
128,0.8,0.0001,normalize,CaCO3,0.976
129,0.8,0.0001,normalize,TOC,0.966
130,0.8,0.0001,log,CaCO3,0.98
131,0.8,0.0001,log,TOC,0.91
132,0.8,1e-05,instance_normalize,CaCO3,0.972
133,0.8,1e-05,instance_normalize,TOC,0.935
134,0.8,1e-05,normalize,CaCO3,0.973
135,0.8,1e-05,normalize,TOC,0.961
136,0.8,1e-05,log,CaCO3,0.974
137,0.8,1e-05,log,TOC,0.937
138,0.8,1e-06,instance_normalize,CaCO3,0.957
139,0.8,1e-06,instance_normalize,TOC,0.899
140,0.8,1e-06,normalize,CaCO3,0.96
141,0.8,1e-06,normalize,TOC,0.912
142,0.8,1e-06,log,CaCO3,0.962
143,0.8,1e-06,log,TOC,0.856
144,0.9,0.0001,instance_normalize,CaCO3,0.971
145,0.9,0.0001,instance_normalize,TOC,0.975
146,0.9,0.0001,normalize,CaCO3,0.977
147,0.9,0.0001,normalize,TOC,0.966
148,0.9,0.0001,log,CaCO3,0.968
149,0.9,0.0001,log,TOC,0.89
150,0.9,1e-05,instance_normalize,CaCO3,0.973
151,0.9,1e-05,instance_normalize,TOC,0.928
152,0.9,1e-05,normalize,CaCO3,0.976
153,0.9,1e-05,normalize,TOC,0.962
154,0.9,1e-05,log,CaCO3,0.975
155,0.9,1e-05,log,TOC,0.929
156,0.9,1e-06,instance_normalize,CaCO3,0.964
157,0.9,1e-06,instance_normalize,TOC,0.862
158,0.9,1e-06,normalize,CaCO3,0.963
159,0.9,1e-06,normalize,TOC,0.903
160,0.9,1e-06,log,CaCO3,0.955
161,0.9,1e-06,log,TOC,0.892
